Miles Graves	
Andre Duffy	
Travon Wilkins	
Ahmed Hammond	
Gauge Glass	
Xander Kelly	
Mitchell McClain	
Kennedy Hurley	
Maximilian Summers	
Andrew Bautista	
Bobby Ali	
Ronnie Nicholson	
Cannon Maldonado	
Colin Shannon	
Cayden Long	
Joe Proctor	
Leon Galindo	
Kane Buck	
Javon Suarez	
Rudy Keller	
Immanuel Stanley	
Roberto Bell	
Kayden Jaramillo	
Kamden Harrison	
Oscar Ball	
Nehemiah Lara	
Jayson Hebert	
Isaiah Williams	
Elian Kirby	
